index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run
239,240,440,0,0,0,0,0.0,2.1569999999999707,0.4173564505958465,0.0012463718750000017,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,350,90,0,1.035265312499994,1.1217346875000012,0.0,1.035265312499994,1.1217346875000012,0.0,0.47995610222531665,0.5200438977746946,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18422607463915436,0.19346694783187407,0.18242552380635635
239,240,431,0,0,0,0,0.0,2.1299999999999697,0.39102699910934047,0.001312516666666668,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,341,90,0,0.9487349999999946,1.1812649999999965,0.0,0.9487349999999946,1.1812649999999965,0.0,0.44541549295775024,0.5545845070422597,0.0,1,1,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18406712610223855,0.194070756472057,0.18242552380635635
239,240,434,0,0,0,0,0.0,2.219999999999973,0.3445694284335641,0.0011239020833333348,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,344,90,0,1.2084881249999917,1.0115118749999998,0.0,1.2084881249999917,1.0115118749999998,0.0,0.5443640202702731,0.4556359797297352,0.0,2,2,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18452936464945172,0.1921869478819716,0.18242552380635635
239,240,446,0,0,0,0,0.0,2.213999999999973,0.3554211797171438,0.0012520833333333344,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,356,90,0,1.087124999999995,1.126875000000003,0.0,1.087124999999995,1.126875000000003,0.0,0.49102303523035606,0.5089769647696553,0.0,3,3,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1843083524386613,0.1935842306311842,0.18242552380635635
239,240,408,0,0,0,0,0.0,2.243999999999974,0.33302836791676294,0.0012831835937500017,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,318,90,0,1.0891347656249928,1.1548652343750012,0.0,1.0891347656249928,1.1548652343750012,0.0,0.48535417362968153,0.5146458263703274,0.0,4,4,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18430898767613094,0.1939116004604375,0.18242552380635635
239,240,437,0,0,0,0,0.0,2.1269999999999696,0.38584144272774723,0.0012952562500000014,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,347,90,0,0.9612693749999935,1.1657306250000037,0.0,0.9612693749999935,1.1657306250000037,0.0,0.45193670662905844,0.5480632933709546,0.0,5,5,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18408613428482729,0.19402569221347113,0.18242552380635635
239,240,453,0,0,0,0,0.0,2.2079999999999727,0.34977085998272894,0.001193565625000002,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,363,90,0,1.1337909374999937,1.0742090625000023,0.0,1.1337909374999937,1.0742090625000023,0.0,0.5134922724184817,0.48650772758152877,0.0,6,6,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1843938084790544,0.1929100662147894,0.18242552380635635
239,240,455,0,0,0,0,0.0,2.195999999999972,0.3739498141743889,0.0012297479166666684,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,365,90,0,1.089226874999994,1.1067731250000001,0.0,1.089226874999994,1.1067731250000001,0.0,0.49600495218579593,0.5039950478142141,0.0,7,7,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1843121327047904,0.19329094372103606,0.18242552380635635
239,240,450,0,0,0,0,0.0,2.081999999999968,0.33063807113360855,0.0011012656250000005,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,360,90,0,1.0908609374999916,0.9911390625000025,0.0,1.0908609374999916,0.9911390625000025,0.0,0.5239485770893412,0.4760514229106714,0.0,8,0,high_funding_share,0.3,0.6,0.003,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1843023415836864,0.1920083547042229,0.18242552380635635
239,240,431,0,0,0,0,0.0,2.13599999999997,0.3819751953848596,0.001192437500000001,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,341,90,0,1.0628062499999946,1.0731937499999984,0.0,1.0628062499999946,1.0731937499999984,0.0,0.49756846910112806,0.5024315308988827,0.0,9,1,high_funding_share,0.3,0.6,0.003,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1842652823815341,0.19294473645221727,0.18242552380635635
