index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run
239,240,446,0,0,0,0,0.0,4.2359999999999385,0.3614279170132486,0.0024024166666666708,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,356,90,0,2.073824999999987,2.162175000000004,0.0,2.073824999999987,2.162175000000004,0.0,0.48957152974504653,0.5104284702549658,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18631136519969527,0.20593968948596691,0.18242552380635635
239,240,469,0,0,0,0,0.0,4.223999999999938,0.375265532073201,0.002275984375000003,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,379,90,0,2.1756140624999833,2.048385937500005,0.0,2.1756140624999833,2.048385937500005,0.0,0.5150601473721627,0.48493985262784917,0.0,1,1,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1865144543612521,0.204566340014516,0.18242552380635635
239,240,436,0,0,0,0,0.0,4.385999999999944,0.3669797535630055,0.0024210500000000036,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,346,90,0,2.207054999999992,2.178945000000003,0.0,2.207054999999992,2.178945000000003,0.0,0.5032045143638897,0.49679548563612186,0.0,2,2,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18660848359982107,0.20617082190534283,0.18242552380635635
239,240,415,0,0,0,0,0.0,4.145999999999935,0.4054427065064432,0.0021863468750000035,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,325,90,0,2.178287812499988,1.9677121875000052,0.0,2.178287812499988,1.9677121875000052,0.0,0.5253950343704828,0.47460496562953114,0.0,3,3,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1865110833078261,0.2035082621965447,0.18242552380635635
239,240,467,0,0,0,0,0.0,4.28399999999994,0.3484711653712944,0.0022510090494791708,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,377,90,0,2.258091855468737,2.0259081445312592,0.0,2.258091855468737,2.0259081445312592,0.0,0.5270989391850534,0.47290106081495975,0.0,4,4,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18668441438452235,0.20430648523034894,0.18242552380635635
239,240,453,0,0,0,0,0.0,4.523999999999949,0.33063075869181535,0.0022713208333333366,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,363,90,0,2.479811249999996,2.0441887500000067,0.0,2.479811249999996,2.0441887500000067,0.0,0.5481457228116764,0.45185427718833543,0.0,5,5,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18710510740434377,0.20453299424008892,0.18242552380635635
239,240,433,0,0,0,0,0.0,4.391999999999944,0.3502708106341912,0.0025931416666666695,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,343,90,0,2.0581724999999866,2.3338275000000057,0.0,2.0581724999999866,2.3338275000000057,0.0,0.4686185109289646,0.5313814890710463,0.0,6,6,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18627810518889482,0.20804473141270402,0.18242552380635635
239,240,442,0,0,0,0,0.0,4.151999999999935,0.3916546319513834,0.00240329166666667,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,352,90,0,1.9890374999999856,2.162962500000005,0.0,1.9890374999999856,2.162962500000005,0.0,0.479055274566478,0.5209447254335353,0.0,7,7,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18616436756805246,0.20587296170365924,0.18242552380635635
239,240,465,0,0,0,0,0.0,4.349999999999943,0.3670671411290791,0.0024680833333333347,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,375,90,0,2.128724999999986,2.221275000000002,0.0,2.128724999999986,2.221275000000002,0.0,0.4893620689655205,0.51063793103449,0.0,8,0,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1864372241876318,0.20666171401542358,0.18242552380635635
239,240,462,0,0,0,0,0.0,4.2899999999999405,0.3823566661795508,0.0024856666666666677,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,372,90,0,2.052899999999986,2.237100000000006,0.0,2.052899999999986,2.237100000000006,0.0,0.4785314685314719,0.5214685314685401,0.0,9,1,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18629262744938202,0.20670125526158503,0.18242552380635635
