index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run
239,240,423,0,0,0,0,0.0,2.168999999999971,0.37208445364229403,0.001131520833333332,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,333,90,0,1.1506312499999958,1.0183687499999954,0.0,1.1506312499999958,1.0183687499999954,0.0,0.5304892807745556,0.4695107192254536,0.0,0,0,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1844198535068621,0.19234875130799978,0.18242552380635635
239,240,413,0,0,0,0,0.0,2.237999999999974,0.35975310312935305,0.0012552708333333326,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,323,90,0,1.1082562499999982,1.1297437499999927,0.0,1.1082562499999982,1.1297437499999927,0.0,0.4951993967828468,0.5048006032171608,0.0,1,1,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1843708514885289,0.193567115863535,0.18242552380635635
239,240,405,0,0,0,0,0.0,2.13299999999997,0.4002305792700993,0.0012330687500000002,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,315,90,0,1.0232381249999953,1.1097618749999942,0.0,1.0232381249999953,1.1097618749999942,0.0,0.479717827004224,0.5202821729957853,0.0,2,2,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1841858181210448,0.19339531772185226,0.18242552380635635
239,240,402,0,0,0,0,0.0,2.1569999999999707,0.43992923839356557,0.0011075671874999982,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,312,90,0,1.1601895312499992,0.996810468749993,0.0,1.1601895312499992,0.996810468749993,0.0,0.5378718271905494,0.4621281728094606,0.0,3,3,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18445914905577682,0.19213219255259048,0.18242552380635635
239,240,440,0,0,0,0,0.0,2.240999999999974,0.3585967241972645,0.001132932291666664,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,350,90,0,1.2213609374999992,1.0196390624999994,0.0,1.2213609374999992,1.0196390624999994,0.0,0.5450071117804611,0.45499288821954986,0.0,4,4,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.184554660614316,0.19229067207730335,0.18242552380635635
239,240,403,0,0,0,0,0.0,2.186999999999972,0.39011556690128946,0.0011919755208333307,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,313,90,0,1.114222031249994,1.072777968749998,0.0,1.114222031249994,1.072777968749998,0.0,0.509475094307274,0.4905249056927352,0.0,5,5,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18436528392330617,0.1929142422476002,0.18242552380635635
239,240,405,0,0,0,0,0.0,2.114999999999969,0.3866006655277652,0.0011414770833333315,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,315,90,0,1.0876706249999955,1.0273293749999945,0.0,1.0876706249999955,1.0273293749999945,0.0,0.5142650709219911,0.4857349290780187,0.0,6,6,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18430346410929802,0.1924939809243485,0.18242552380635635
239,240,433,0,0,0,0,0.0,2.1569999999999707,0.3608245393252105,0.0012113583333333321,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,343,90,0,1.0667774999999962,1.090222499999994,0.0,1.0667774999999962,1.090222499999994,0.0,0.49456536856745975,0.5054346314325493,0.0,7,7,baseline,0.3,0.6,0.003,0.01,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1842630572509245,0.19305037740139858,0.18242552380635635
239,240,420,0,0,0,0,0.0,2.13599999999997,0.3791623304672318,0.0011361708333333346,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,330,90,0,1.113446249999997,1.022553749999985,0.0,1.113446249999997,1.022553749999985,0.0,0.5212763342696689,0.4787236657303368,0.0,8,0,baseline,0.3,0.6,0.003,0.02,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.18434773010271385,0.19231565027556213,0.18242552380635635
239,240,450,0,0,0,0,0.0,2.297999999999976,0.3723900268225284,0.001263735416666668,0.18242552380635635,0.18242552380635635,0.18242552380635635,30,6,60,360,90,0,1.1606381249999995,1.1373618749999848,0.0,1.1606381249999995,1.1373618749999848,0.0,0.5050644582245482,0.49493554177545546,0.0,9,1,baseline,0.3,0.6,0.003,0.02,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.1844373056333066,0.193674560005263,0.18242552380635635
