index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,treasury_balance,total_funding_invested,total_wealth,new_creators_this_step,new_investors_this_step,new_users_this_step,locked_funding_positions,honor_seal_honest_contribution_count,honor_seal_fake_contribution_count,honor_seal_dishonored_contribution_count,honor_seal_sealed_usage_share,honor_seal_dishonored_usage_share,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run,tracing_true_links,tracing_detected_true_links,tracing_false_positive_links,tracing_missed_true_links
239,240,2175,0,30,0,0,0.0,2.0519999999999667,0.5337502116894925,-0.9995174338936327,0.5,0.18253350916197406,0.18242552380635635,0,6,60,1478,43,654,276.6132044600354,0.42812643210405976,165.7201251521945,442.3333296122299,0.42812643210405976,0.0,0.9990330539701242,0.0009669460298757153,0.0,0.0,888.8963718867593,1342.7614560443333,0,0,0,0,0,0,0,0.0,0.0,0,0,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18253216680446382,0.18242552380635635,2131,736,74,1395
239,240,2161,0,30,0,0,0.0,2.084999999999968,0.5718582917075474,-0.9995413778459485,0.5,0.1825281493885134,0.18242552380635635,0,6,60,1357,39,765,269.77640817914653,0.40574389852376924,178.08340117411166,447.85980935325813,0.40574389852376924,0.0,0.9990948581804235,0.0009051418195764663,0.0,0.0,884.5339087159472,1348.2655532517817,0,0,0,0,0,0,0,0.0,0.0,1,1,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18252724559877506,0.18242552380635635,2121,766,86,1355
239,240,2191,0,30,0,0,0.0,2.3369999999999775,0.5755734178707996,-0.9993064107036366,0.5,0.1825807466414119,0.18242552380635635,0,6,60,1437,38,716,281.3289661465422,0.6123057264639468,162.22373859381577,443.55270474035797,0.6123057264639468,0.0,0.9986214453817053,0.0013785546182946901,0.0,0.0,883.4940051268769,1344.1650104668217,0,0,0,0,0,0,0,0.0,0.0,2,2,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18257929332294515,0.18242552380635635,2152,720,64,1432
239,240,2104,0,30,0,0,0.0,2.14199999999997,0.5388693279216432,-0.9995043103729516,0.5,0.18253644599335514,0.18242552380635635,0,6,60,1400,41,663,295.2086384268346,0.44126345660349486,155.13670396112155,450.34534238795607,0.44126345660349486,0.0,0.9990211256260004,0.0009788743739995937,0.0,0.0,890.988248180943,1350.7866058445593,0,0,0,0,0,0,0,0.0,0.0,3,3,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.1825351377709195,0.18242552380635635,2062,704,55,1358
239,240,2126,0,30,0,0,0.0,2.2829999999999755,0.5740687268004943,-0.9995712842945875,0.5,0.18252145756571425,0.18242552380635635,0,6,60,1577,36,513,453.82190988285896,0.3817710676776681,78.87200570377125,532.6939155866302,0.3817710676776681,0.0,0.9992838332768961,0.0007161667231040709,0.0,0.0,892.4747690640961,1433.075686654307,0,0,0,0,0,0,0,0.0,0.0,4,4,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18252000142286662,0.18242552380635635,2089,742,70,1347
239,240,2125,0,30,0,0,0.0,2.2079999999999727,0.5997501989329703,-0.9994224106846149,0.5,0.1825547777038161,0.18242552380635635,0,6,60,1601,36,488,339.81594958855834,0.5109024158857394,106.78653649524306,446.6024860838014,0.5109024158857394,0.0,0.9988573314308478,0.0011426685691522226,0.0,0.0,884.3570688172076,1347.1133884996868,0,0,0,0,0,0,0,0.0,0.0,5,5,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.1825537758612371,0.18242552380635635,2088,715,61,1373
239,240,2178,0,30,0,0,0.0,2.291999999999976,0.5705161581821558,-0.999501514158454,0.5,0.18253707157379342,0.18242552380635635,0,6,60,1293,38,847,295.5887312886607,0.44159213226178257,217.8952505057398,513.4839817944005,0.44159213226178257,0.0,0.9991407469200495,0.0008592530799504408,0.0,0.0,885.6870867364722,1413.9255739266619,0,0,0,0,0,0,0,0.0,0.0,6,6,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18253581755106846,0.18242552380635635,2139,738,55,1401
239,240,2220,0,30,0,0,0.0,2.2079999999999727,0.5780987102236357,-0.9994490455430824,0.5,0.1825488162285245,0.18242552380635635,0,6,60,1591,38,591,349.3555595191984,0.490027470775939,113.07422769194118,462.42978721113957,0.490027470775939,0.0,0.998941442005215,0.0010585579947850145,0.0,0.0,889.5446935383957,1362.9198146819149,0,0,0,0,0,0,0,0.0,0.0,7,7,low_tracing_accuracy,0.3,0.6,0.003,0.01,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18254740143631049,0.18242552380635635,2181,795,57,1386
239,240,2164,0,30,0,0,0.0,2.0759999999999676,0.590073880210235,-0.9993804020544373,0.5,0.1825641826317116,0.18242552380635635,0,6,60,1270,46,848,215.10661465576058,0.5500664448403132,169.68394579539174,384.79056045115226,0.5500664448403132,0.0,0.9985725189444176,0.0014274810555824986,0.0,0.0,889.2136459355116,1285.3406268959925,0,0,0,0,0,0,0,0.0,0.0,8,0,low_tracing_accuracy,0.3,0.6,0.003,0.02,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18256243805956968,0.18242552380635635,2117,738,78,1379
239,240,2256,0,30,0,0,0.0,2.0189999999999655,0.5774293834046396,-0.9994568347584557,0.5,0.1825470724836725,0.18242552380635635,0,6,60,1851,39,366,348.85401778190885,0.48238533925836985,75.66356821596162,424.51758599787047,0.48238533925836985,0.0,0.9988649755957849,0.001135024404215125,0.0,0.0,887.8979959874898,1324.999971337128,0,0,0,0,0,0,0,0.0,0.0,9,1,low_tracing_accuracy,0.3,0.6,0.003,0.02,0.35,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18254615387127557,0.18242552380635635,2216,772,71,1444
