index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,treasury_balance,total_funding_invested,total_wealth,new_creators_this_step,new_investors_this_step,new_users_this_step,locked_funding_positions,honor_seal_honest_contribution_count,honor_seal_fake_contribution_count,honor_seal_dishonored_contribution_count,honor_seal_sealed_usage_share,honor_seal_dishonored_usage_share,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run,tracing_true_links,tracing_detected_true_links,tracing_false_positive_links,tracing_missed_true_links
239,240,2279,0,30,0,0,0.0,2.246999999999974,0.6034002618429255,-0.9992797550207966,0.5,0.18258671391705592,0.18242552380635635,0,6,60,1219,43,1017,218.67788567729778,0.6403616033501169,201.724794266062,420.4026799433598,0.6403616033501169,0.0,0.9984791065516776,0.0015208934483223757,0.0,0.0,889.0667393349969,1321.0430415467101,0,0,0,0,0,0,0,0.0,0.0,0,0,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18258521937043462,0.18242552380635635,2235,1772,21,463
239,240,2244,0,30,0,0,0.0,2.0999999999999686,0.6621465914934161,-0.9994244891918789,0.5,0.18255431313099202,0.18242552380635635,0,6,60,1324,34,886,263.48379913355905,0.5110931351331427,146.04624353952585,409.5300426730848,0.5110931351331427,0.0,0.998753556434952,0.0012464435650480401,0.0,0.0,888.0177395137134,1310.0411358082167,0,0,0,0,0,0,0,0.0,0.0,1,1,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18255251223389973,0.18242552380635635,2209,1766,27,443
239,240,2197,0,30,0,0,0.0,2.237999999999974,0.600712907398292,-0.9994161888120979,0.5,0.18255617076531763,0.18242552380635635,0,6,60,1335,37,825,288.2059180502134,0.5206003327356094,173.8249277330377,462.03084578325104,0.5206003327356094,0.0,0.998874502853451,0.001125497146548898,0.0,0.0,891.8441468008074,1362.5514461159853,0,0,0,0,0,0,0,0.0,0.0,2,2,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.1825540645956999,0.18242552380635635,2159,1735,20,424
239,240,2182,0,30,0,0,0.0,2.1239999999999695,0.6416116072284179,-0.9993761394433059,0.5,0.1825651369536875,0.18242552380635635,0,6,60,1431,37,714,271.68375915498893,0.5554531481368651,140.54472236975238,412.2284815247412,0.5554531481368651,0.0,0.9986543731442042,0.0013456268557957547,0.0,0.0,889.6277985564084,1312.7839346728783,0,0,0,0,0,0,0,0.0,0.0,3,3,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18256369467426178,0.18242552380635635,2144,1729,17,415
239,240,2174,0,30,0,0,0.0,2.2079999999999727,0.5323727251237356,-0.9994664033107455,0.5,0.1825449310374789,0.18242552380635635,0,6,60,1522,36,616,321.0027997461816,0.4735972058160122,140.91483940548096,461.91763915166274,0.4735972058160122,0.0,0.9989757651776733,0.0010242348223266716,0.0,0.0,887.5494272351824,1362.391236357478,0,0,0,0,0,0,0,0.0,0.0,4,4,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18254350881975068,0.18242552380635635,2137,1704,21,433
239,240,2263,0,30,0,0,0.0,2.243999999999974,0.5827050897277724,-0.9994083527065301,0.5,0.18255792573496224,0.18242552380635635,0,6,60,1383,41,839,291.93117163062226,0.5266843893948345,151.51265596518635,443.4438275958085,0.5266843893948345,0.0,0.9988136951099752,0.0011863048900247408,0.0,0.0,889.784936306692,1343.9705119852026,0,0,0,0,0,0,0,0.0,0.0,5,5,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.1825566280838034,0.18242552380635635,2221,1770,29,451
239,240,2193,0,30,0,0,0.0,1.9949999999999648,0.604701264329466,-0.9995306273810723,0.5,0.1825305560329207,0.18242552380635635,0,6,60,990,39,1164,199.52177494168825,0.4206105536601276,208.54630775447183,408.06808269616016,0.4206105536601276,0.0,0.9989703251017454,0.0010296748982545128,0.0,0.0,895.5368309489775,1308.4886932498202,0,0,0,0,0,0,0,0.0,0.0,6,6,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18252922328079593,0.18242552380635635,2153,1730,25,423
239,240,2192,0,30,0,0,0.0,2.270999999999975,0.6381732769809652,-0.999291508859537,0.5,0.1825840847193377,0.18242552380635635,0,6,60,1670,31,491,325.14907130409813,0.6319064059634315,95.4436971462799,420.592768450378,0.6319064059634315,0.0,0.9984998352573269,0.0015001647426731185,0.0,0.0,892.3532934893589,1321.2246748563412,0,0,0,0,0,0,0,0.0,0.0,7,7,high_funding_share,0.3,0.6,0.003,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18258228524997525,0.18242552380635635,2160,1732,22,428
239,240,2268,0,30,0,0,0.0,1.9769999999999655,0.5731837753057005,-0.999477427202036,0.5,0.1825424639227926,0.18242552380635635,0,6,60,1271,47,950,220.97014029030086,0.462713225853693,163.09078032690405,384.0609206172049,0.462713225853693,0.0,0.9987966585532619,0.0012033414467380883,0.0,0.0,885.6594629934693,1284.5236338430589,0,0,0,0,0,0,0,0.0,0.0,8,0,high_funding_share,0.3,0.6,0.003,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18254169458677785,0.18242552380635635,2220,1778,16,442
239,240,2164,0,30,0,0,0.0,2.0159999999999654,0.5989782168286211,-0.9995311157004682,0.5,0.18253044613149103,0.18242552380635635,0,6,60,1547,36,581,293.24008289525926,0.4158299961378404,126.46698543531443,419.70706833057363,0.4158299961378404,0.0,0.9990102182056868,0.0009897817943131187,0.0,0.0,886.175967326843,1320.1228983267113,0,0,0,0,0,0,0,0.0,0.0,9,1,high_funding_share,0.3,0.6,0.003,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18252957181892235,0.18242552380635635,2127,1696,24,431
