index,step,contribution_count,usage_event_count,active_creator_count,active_investor_count,active_user_count,total_fee_distributed,cumulative_fee_distributed,creator_wealth_gini,investor_mean_roi,mean_creator_satisfaction,mean_investor_satisfaction,mean_user_satisfaction,creator_churned_count,investor_churned_count,user_churned_count,core_research_contribution_count,funding_contribution_count,supporting_contribution_count,total_reward_core_research,total_reward_funding,total_reward_supporting,total_income_creators,total_income_investors,total_income_users,role_income_share_creators,role_income_share_investors,role_income_share_users,treasury_balance,total_funding_invested,total_wealth,new_creators_this_step,new_investors_this_step,new_users_this_step,locked_funding_positions,honor_seal_honest_contribution_count,honor_seal_fake_contribution_count,honor_seal_dishonored_contribution_count,honor_seal_sealed_usage_share,honor_seal_dishonored_usage_share,run_id,rep,scenario_name,creator_base_contribution_probability,user_usage_probability,gas_fee_share_rate,funding_split_fraction,tracing_accuracy,default_derivative_split,supporting_derivative_split,core_research_base_royalty_share,funding_base_royalty_share,supporting_base_royalty_share,aspiration_income_per_step,satisfaction_logistic_k,satisfaction_churn_threshold,satisfaction_churn_window,mean_creator_satisfaction_over_run,mean_investor_satisfaction_over_run,mean_user_satisfaction_over_run,tracing_true_links,tracing_detected_true_links,tracing_false_positive_links,tracing_missed_true_links
239,240,2188,0,30,0,0,0.0,4.199999999999937,0.5729807829828859,-0.9990506616801822,0.5,0.182638007887126,0.18242552380635635,0,6,60,1797,39,352,369.10036464640046,0.8440909470895349,68.44020171417532,437.5405663605757,0.8440909470895349,0.0,0.9980745426806825,0.001925457319317493,0.0,0.0,888.7488557280547,1338.3846573076646,0,0,0,0,0,0,0,0.0,0.0,0,0,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18263536326025648,0.18242552380635635,2148,1681,27,467
239,240,2248,0,30,0,0,0.0,4.1579999999999355,0.6188793568578821,-0.9987704061113983,0.5,0.1827007750486375,0.18242552380635635,0,6,60,2000,35,213,322.9979067467755,1.0879004326902473,72.57017018988722,395.5680769366627,1.0879004326902473,0.0,0.9972573199579514,0.0027426800420487056,0.0,0.0,884.3951577161866,1296.6559773693525,0,0,0,0,0,0,0,0.0,0.0,1,1,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.1826968575075701,0.18242552380635635,2212,1766,18,446
239,240,2136,0,30,0,0,0.0,4.54799999999995,0.5573876251018262,-0.9990338699499975,0.5,0.18264177185710362,0.18242552380635635,0,6,60,1439,34,663,291.72714037200797,0.8595174011454942,219.0303289627379,510.75746933474574,0.8595174011454942,0.0,0.9983199983123524,0.0016800016876476337,0.0,0.0,890.5502257863534,1411.6169867358913,0,0,0,0,0,0,0,0.0,0.0,2,2,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.1826384707894088,0.18242552380635635,2101,1681,26,420
239,240,2236,0,30,0,0,0.0,4.27799999999994,0.5951002082145265,-0.9988263391478966,0.5,0.18268824614478943,0.18242552380635635,0,6,60,1983,36,217,351.11848804139254,1.0436124649249956,44.41205226107188,395.5305403024645,1.0436124649249956,0.0,0.9973684304495328,0.0026315695504672146,0.0,0.0,889.1121455494305,1296.5741527673895,0,0,0,0,0,0,0,0.0,0.0,3,3,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18268435309218703,0.18242552380635635,2199,1775,24,424
239,240,2224,0,30,0,0,0.0,4.319999999999942,0.5529456155414325,-0.9989595848660802,0.5,0.18265840150667692,0.18242552380635635,0,6,60,1755,41,428,366.5176826286257,0.9268929879175158,87.53042734334606,454.0481099719716,0.9268929879175158,0.0,0.997962760631051,0.0020372393689488725,0.0,0.0,891.2300285305658,1354.9750029598888,0,0,0,0,0,0,0,0.0,0.0,4,4,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18265665785166763,0.18242552380635635,2182,1734,19,448
239,240,2182,0,30,0,0,0.0,4.3679999999999435,0.6411657748928068,-0.9987348361777761,0.5,0.18270873701107196,0.18242552380635635,0,6,60,1279,42,861,236.1075593791997,1.1249054152694373,176.40081957703214,412.50837895623175,1.1249054152694373,0.0,0.9972804282010848,0.002719571798915276,0.0,0.0,889.1877477619878,1313.6332843715013,0,0,0,0,0,0,0,0.0,0.0,5,5,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.1827044990524864,0.18242552380635635,2139,1671,23,468
239,240,2233,0,30,0,0,0.0,3.98399999999993,0.5676301080346453,-0.9988814877012427,0.5,0.18267589430017936,0.18242552380635635,0,6,60,1545,41,647,272.9619534726523,0.9938487531899225,116.14847782440401,389.1104312970563,0.9938487531899225,0.0,0.9974523510660741,0.0025476489339258538,0.0,0.0,888.5515425310539,1290.1042800502464,0,0,0,0,0,0,0,0.0,0.0,6,6,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18267362768100515,0.18242552380635635,2191,1730,26,461
239,240,2144,0,30,0,0,0.0,4.463999999999947,0.6154084825145321,-0.9988895549420151,0.5,0.18267408853630254,0.18242552380635635,0,6,60,1175,41,928,259.9326323373298,0.9875659836490885,185.65353646180748,445.5861687991372,0.9875659836490885,0.0,0.9977885712778666,0.0022114287221335154,0.0,0.0,890.2205502084961,1346.573734782786,0,0,0,0,0,0,0,0.0,0.0,7,7,high_investor_share,0.3,0.6,0.006,0.03,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18267158801208655,0.18242552380635635,2102,1683,21,419
239,240,2262,0,30,0,0,0.0,4.4219999999999455,0.5908326703723925,-0.99886239203839,0.5,0.18268017449190124,0.18242552380635635,0,6,60,1773,42,447,366.2403170645167,1.011993875977318,87.33952636578101,453.5798434302976,1.011993875977318,0.0,0.9977738406347681,0.002226159365231851,0.0,0.0,888.0553084241545,1354.5918373062746,0,0,0,0,0,0,0,0.0,0.0,8,0,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18267836554062533,0.18242552380635635,2219,1794,18,425
239,240,2269,0,30,0,0,0.0,4.409999999999945,0.44069800947455606,-0.9989439635854263,0.5,0.18266190321079478,0.18242552380635635,0,6,60,1004,43,1222,194.10829608781182,0.9372674974866079,268.8928781296398,463.0011742174516,0.9372674974866079,0.0,0.9979797589222785,0.0020202410777214737,0.0,0.0,886.6717113662237,1363.9384417149383,0,0,0,0,0,0,0,0.0,0.0,9,1,high_investor_share,0.3,0.6,0.006,0.05,0.8,0.5,0.25,1.0,1.0,1.0,0.02,1.5,0.2,20,0.5,0.18265906574923105,0.18242552380635635,2225,1792,13,433
